[A-Z][a-zA-Z]+ activist	TITLE	MISC	1
US	COUNTRY	LOCATION	1
AL	STATE_OR_PROVINCE	LOCATION	1
AK	STATE_OR_PROVINCE	LOCATION	1
AS	STATE_OR_PROVINCE	LOCATION	1
AZ	STATE_OR_PROVINCE	LOCATION	1
AR	STATE_OR_PROVINCE	LOCATION	1
CA	STATE_OR_PROVINCE	LOCATION	1
CO	STATE_OR_PROVINCE	LOCATION	1
CT	STATE_OR_PROVINCE	LOCATION	1
DE	STATE_OR_PROVINCE	LOCATION	1
DC	STATE_OR_PROVINCE	LOCATION	1
FL	STATE_OR_PROVINCE	LOCATION	1
GA	STATE_OR_PROVINCE	LOCATION	1
GU	STATE_OR_PROVINCE	LOCATION	1
HI	STATE_OR_PROVINCE	LOCATION	1
ID	STATE_OR_PROVINCE	LOCATION	1
IL	STATE_OR_PROVINCE	LOCATION	1
IN	STATE_OR_PROVINCE	LOCATION	1
IA	STATE_OR_PROVINCE	LOCATION	1
KS	STATE_OR_PROVINCE	LOCATION	1
KY	STATE_OR_PROVINCE	LOCATION	1
LA	STATE_OR_PROVINCE	LOCATION	1
ME	STATE_OR_PROVINCE	LOCATION	1
MD	STATE_OR_PROVINCE	LOCATION	1
MA	STATE_OR_PROVINCE	LOCATION	1
MI	STATE_OR_PROVINCE	LOCATION	1
MN	STATE_OR_PROVINCE	LOCATION	1
MS	STATE_OR_PROVINCE	LOCATION	1
MO	STATE_OR_PROVINCE	LOCATION	1
MT	STATE_OR_PROVINCE	LOCATION	1
NE	STATE_OR_PROVINCE	LOCATION	1
NV	STATE_OR_PROVINCE	LOCATION	1
NH	STATE_OR_PROVINCE	LOCATION	1
NJ	STATE_OR_PROVINCE	LOCATION	1
NM	STATE_OR_PROVINCE	LOCATION	1
NY	STATE_OR_PROVINCE	LOCATION	1
NC	STATE_OR_PROVINCE	LOCATION	1
ND	STATE_OR_PROVINCE	LOCATION	1
OH	STATE_OR_PROVINCE	LOCATION	1
OK	STATE_OR_PROVINCE	LOCATION	1
OR	STATE_OR_PROVINCE	LOCATION	1
PA	STATE_OR_PROVINCE	LOCATION	1
PR	STATE_OR_PROVINCE	LOCATION	1
RI	STATE_OR_PROVINCE	LOCATION	1
SC	STATE_OR_PROVINCE	LOCATION	1
SD	STATE_OR_PROVINCE	LOCATION	1
TN	STATE_OR_PROVINCE	LOCATION	1
TX	STATE_OR_PROVINCE	LOCATION	1
UT	STATE_OR_PROVINCE	LOCATION	1
VT	STATE_OR_PROVINCE	LOCATION	1
VI	STATE_OR_PROVINCE	LOCATION	1
VA	STATE_OR_PROVINCE	LOCATION	1
WA	STATE_OR_PROVINCE	LOCATION	1
WV	STATE_OR_PROVINCE	LOCATION	1
WI	STATE_OR_PROVINCE	LOCATION	1
WY	STATE_OR_PROVINCE	LOCATION	1
AB	STATE_OR_PROVINCE	LOCATION	1
BC	STATE_OR_PROVINCE	LOCATION	1
MB	STATE_OR_PROVINCE	LOCATION	1
NB	STATE_OR_PROVINCE	LOCATION	1
NL	STATE_OR_PROVINCE	LOCATION	1
NT	STATE_OR_PROVINCE	LOCATION	1
NS	STATE_OR_PROVINCE	LOCATION	1
NU	STATE_OR_PROVINCE	LOCATION	1
ON	STATE_OR_PROVINCE	LOCATION	1
PE	STATE_OR_PROVINCE	LOCATION	1
QC	STATE_OR_PROVINCE	LOCATION	1
SK	STATE_OR_PROVINCE	LOCATION	1
YT	STATE_OR_PROVINCE	LOCATION	1
Ala\.?	STATE_OR_PROVINCE	LOCATION	1
Alaska	STATE_OR_PROVINCE	LOCATION	1
Ariz\.?	STATE_OR_PROVINCE	LOCATION	1
Ark\.?	STATE_OR_PROVINCE	LOCATION	1
Calif\.?	STATE_OR_PROVINCE	LOCATION	1
Colo\.?	STATE_OR_PROVINCE	LOCATION	1
Conn\.?	STATE_OR_PROVINCE	LOCATION	1
Del\.?	STATE_OR_PROVINCE	LOCATION	1
Columbia	STATE_OR_PROVINCE	LOCATION	1
Fla\.?	STATE_OR_PROVINCE	LOCATION	1
Ga\.?	STATE_OR_PROVINCE	LOCATION	1
Hawaii	STATE_OR_PROVINCE	LOCATION	1
Idaho	STATE_OR_PROVINCE	LOCATION	1
Ill\.?	STATE_OR_PROVINCE	LOCATION	1
Ind\.?	STATE_OR_PROVINCE	LOCATION	1
Iowa	STATE_OR_PROVINCE	LOCATION	1
Kans\.?	STATE_OR_PROVINCE	LOCATION	1
Ky\.?	STATE_OR_PROVINCE	LOCATION	1
La\.?	STATE_OR_PROVINCE	LOCATION	1
Maine	STATE_OR_PROVINCE	LOCATION	1
Md\.?	STATE_OR_PROVINCE	LOCATION	1
Mass\.?	STATE_OR_PROVINCE	LOCATION	1
Mich\.?	STATE_OR_PROVINCE	LOCATION	1
Minn\.?	STATE_OR_PROVINCE	LOCATION	1
Miss\.?	STATE_OR_PROVINCE	LOCATION	1
Mo\.?	STATE_OR_PROVINCE	LOCATION	1
Mont\.?	STATE_OR_PROVINCE	LOCATION	1
Neb\.?	STATE_OR_PROVINCE	LOCATION	1
Nev\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?H\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?J\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?M\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?Y\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?C\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?D\.?	STATE_OR_PROVINCE	LOCATION	1
Ohio	STATE_OR_PROVINCE	LOCATION	1
Okla\.?	STATE_OR_PROVINCE	LOCATION	1
Ore\.?	STATE_OR_PROVINCE	LOCATION	1
P[Aa]\.?	STATE_OR_PROVINCE	LOCATION	1
R\.?I\.?	STATE_OR_PROVINCE	LOCATION	1
S\.?C\.?	STATE_OR_PROVINCE	LOCATION	1
S\.?D\.?	STATE_OR_PROVINCE	LOCATION	1
Tenn\.?	STATE_OR_PROVINCE	LOCATION	1
Tex\.?	STATE_OR_PROVINCE	LOCATION	1
Utah	STATE_OR_PROVINCE	LOCATION	1
V[tT]\.?	STATE_OR_PROVINCE	LOCATION	1
V[aA]\.?	STATE_OR_PROVINCE	LOCATION	1
Wash\.?	STATE_OR_PROVINCE	LOCATION	1
W\.?V\.?	STATE_OR_PROVINCE	LOCATION	1
Wis\.?	STATE_OR_PROVINCE	LOCATION	1
Wyo\.?	STATE_OR_PROVINCE	LOCATION	1
Alta\.?	STATE_OR_PROVINCE	LOCATION	1
B\.?C\.?	STATE_OR_PROVINCE	LOCATION	1
Man\.	STATE_OR_PROVINCE	LOCATION	1
N\.?B\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?F\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?W\.?T\.?	STATE_OR_PROVINCE	LOCATION	1
N\.?S\.?	STATE_OR_PROVINCE	LOCATION	1
Nunavut	STATE_OR_PROVINCE	LOCATION	1
Ont\.?	STATE_OR_PROVINCE	LOCATION	1
P\.?E\.?I\.?	STATE_OR_PROVINCE	LOCATION	1
P\.?Q\.?	STATE_OR_PROVINCE	LOCATION	1
Qué\.?	STATE_OR_PROVINCE	LOCATION	1
Sask\.?	STATE_OR_PROVINCE	LOCATION	1
Yuk\.?	STATE_OR_PROVINCE	LOCATION	1
Y\.?T\.?	STATE_OR_PROVINCE	LOCATION	1
L\.?A\.?	CITY	LOCATION	1
S\.?F\.?	CITY	LOCATION	1
S\.?J\.?	CITY	LOCATION	1
N\.?Y\.?	CITY	LOCATION	1
CEO	TITLE	1
Superior	TITLE	1
Primate	TITLE	1
Gen\.? [Oo]f [Tt]he Army	TITLE	1
Gen\.?	TITLE	1
Lt\.? Gen\.?	TITLE	2
Maj\.? Gen\.?	TITLE	2
Brig\.? Gen\.?	TITLE	2
Col\.	TITLE	1
Lt\. Col\.	TITLE	2
Maj\.?	TITLE	1
Major	TITLE	1
Capt\.?	TITLE	1
Captain	TITLE	1
1st Lt\.?	TITLE	1
2nd Lt\.?	TITLE	1
Sgt\. Maj\.	TITLE	2
1st Sgt\.?	TITLE	2
Sgt\.? 1st Class	TITLE	3
Sgt\.?	TITLE	1
Cpl\.?	TITLE	1
Pvt\.?	TITLE	1
Pvt\.? [0-9].?.? [Cc]lass	TITLE	3
P[fF][cC]	TITLE	1
Private	TITLE	1
Private [0-9].?.? [Cc]lass	TITLE	3
Private [Ff]irst [Cc]lass	TITLE	3
Private [Ss]econd [Cc]lass	TITLE	3
Fleet Adm\.?	TITLE	2
Adm\.?	TITLE	1
Vice Adm\.?	TITLE	1
Rear Adm\.?	TITLE	1
Cmdr\.?	TITLE	1
Lt\.? Cmdr\.?	TITLE	2
Lt\.?	TITLE	1
Rev\.?	TITLE	1
Acevedo	CITY	LOCATION	1
Aguilar	CITY	LOCATION	1
Allen	CITY	LOCATION	1
Alvarado	CITY	LOCATION	1
Anderson	CITY	LOCATION	1
Andrews	CITY	LOCATION	1
Armstrong	CITY	LOCATION	1
Arnold	CITY	LOCATION	1
Atkinson	CITY	LOCATION	1
Austin	CITY	LOCATION	1
Avila	CITY	LOCATION	1
Ayala	CITY	LOCATION	1
Baker	CITY	LOCATION	1
Baldwin	CITY	LOCATION	1
Barry	CITY	LOCATION	1
Bartlett	CITY	LOCATION	1
Bautista	CITY	LOCATION	1
Bell	CITY	LOCATION	1
Beltran	CITY	LOCATION	1
Bentley	CITY	LOCATION	1
Benton	CITY	LOCATION	1
Berg	CITY	LOCATION	1
Berger	CITY	LOCATION	1
Blackburn	CITY	LOCATION	1
Bolton	CITY	LOCATION	1
Boone	CITY	LOCATION	1
Bowen	CITY	LOCATION	1
Boyle	CITY	LOCATION	1
Bradford	CITY	LOCATION	1
Bradley	CITY	LOCATION	1
Bray	CITY	LOCATION	1
Brewer	CITY	LOCATION	1
Brooks	CITY	LOCATION	1
Bryan	CITY	LOCATION	1
Bryant	CITY	LOCATION	1
Buchanan	CITY	LOCATION	1
Burke	CITY	LOCATION	1
Burton	CITY	LOCATION	1
Butler	CITY	LOCATION	1
Cabrera	CITY	LOCATION	1
Caldwell	CITY	LOCATION	1
Calhoun	CITY	LOCATION	1
Campbell	CITY	LOCATION	1
Campos	CITY	LOCATION	1
Cantu	CITY	LOCATION	1
Cardenas	CITY	LOCATION	1
Carney	CITY	LOCATION	1
Carroll	CITY	LOCATION	1
Carson	CITY	LOCATION	1
Castillo	CITY	LOCATION	1
Castro	CITY	LOCATION	1
Cervantes	CITY	LOCATION	1
Chandler	CITY	LOCATION	1
Chase	CITY	LOCATION	1
Cisneros	CITY	LOCATION	1
Clark	CITY	LOCATION	1
Clayton	CITY	LOCATION	1
Colon	CITY	LOCATION	1
Compton	CITY	LOCATION	1
Conner	CITY	LOCATION	1
Conway	CITY	LOCATION	1
Cordova	CITY	LOCATION	1
Cortez	CITY	LOCATION	1
Craig	CITY	LOCATION	1
Crosby	CITY	LOCATION	1
Cruz	CITY	LOCATION	1
Cuevas	CITY	LOCATION	1
Curry	CITY	LOCATION	1
Dalton	CITY	LOCATION	1
Davenport	CITY	LOCATION	1
David	CITY	LOCATION	1
Davidson	CITY	LOCATION	1
Davila	CITY	LOCATION	1
Davis	CITY	LOCATION	1
Dawson	CITY	LOCATION	1
Delgado	CITY	LOCATION	1
Dennis	CITY	LOCATION	1
Diaz	CITY	LOCATION	1
Dickson	CITY	LOCATION	1
Dillon	CITY	LOCATION	1
Dixon	CITY	LOCATION	1
Douglas	CITY	LOCATION	1
Duarte	CITY	LOCATION	1
Dudley	CITY	LOCATION	1
Duncan	CITY	LOCATION	1
Dunn	CITY	LOCATION	1
Duran	CITY	LOCATION	1
Durham	CITY	LOCATION	1
Dyer	CITY	LOCATION	1
Escobar	CITY	LOCATION	1
Evans	CITY	LOCATION	1
Everett	CITY	LOCATION	1
Ewing	CITY	LOCATION	1
Ferguson	CITY	LOCATION	1
Fernandez	CITY	LOCATION	1
Flores	CITY	LOCATION	1
Forbes	CITY	LOCATION	1
Foster	CITY	LOCATION	1
Franklin	CITY	LOCATION	1
Frederick	CITY	LOCATION	1
Garcia	CITY	LOCATION	1
Gardner	CITY	LOCATION	1
Garner	CITY	LOCATION	1
Gay	CITY	LOCATION	1
George	CITY	LOCATION	1
Gilbert	CITY	LOCATION	1
Golden	CITY	LOCATION	1
Gomez	CITY	LOCATION	1
Gonzales	CITY	LOCATION	1
Gonzalez	CITY	LOCATION	1
Graham	CITY	LOCATION	1
Gray	CITY	LOCATION	1
Green	CITY	LOCATION	1
Greer	CITY	LOCATION	1
Griffin	CITY	LOCATION	1
Griffith	CITY	LOCATION	1
Guerrero	CITY	LOCATION	1
Gutierrez	CITY	LOCATION	1
Hamilton	CITY	LOCATION	1
Hammond	CITY	LOCATION	1
Hampton	CITY	LOCATION	1
Hanna	CITY	LOCATION	1
Hanson	CITY	LOCATION	1
Harper	CITY	LOCATION	1
Harrison	CITY	LOCATION	1
Harvey	CITY	LOCATION	1
Hatfield	CITY	LOCATION	1
Hayden	CITY	LOCATION	1
Hays	CITY	LOCATION	1
Henderson	CITY	LOCATION	1
Herrera	CITY	LOCATION	1
Hinton	CITY	LOCATION	1
Ho	CITY	LOCATION	1
Hobbs	CITY	LOCATION	1
Holden	CITY	LOCATION	1
Holland	CITY	LOCATION	1
Holt	CITY	LOCATION	1
Hoover	CITY	LOCATION	1
Hopkins	CITY	LOCATION	1
Horn	CITY	LOCATION	1
Houston	CITY	LOCATION	1
Howard	CITY	LOCATION	1
Howell	CITY	LOCATION	1
Hudson	CITY	LOCATION	1
Hull	CITY	LOCATION	1
Hurst	CITY	LOCATION	1
Hutchinson	CITY	LOCATION	1
Ibarra	CITY	LOCATION	1
Jackson	CITY	LOCATION	1
Jefferson	CITY	LOCATION	1
Jennings	CITY	LOCATION	1
Jimenez	CITY	LOCATION	1
Johnston	CITY	LOCATION	1
Jones	CITY	LOCATION	1
Jordan	CITY	LOCATION	1
Juarez	CITY	LOCATION	1
Keith	CITY	LOCATION	1
Keller	CITY	LOCATION	1
Kent	CITY	LOCATION	1
Kim	CITY	LOCATION	1
Kirby	CITY	LOCATION	1
Lara	CITY	LOCATION	1
Lawrence	CITY	LOCATION	1
Lee	CITY	LOCATION	1
Leon	CITY	LOCATION	1
Li	CITY	LOCATION	1
Livingston	CITY	LOCATION	1
Logan	CITY	LOCATION	1
Long	CITY	LOCATION	1
Lopez	CITY	LOCATION	1
Lucero	CITY	LOCATION	1
Luna	CITY	LOCATION	1
Lutz	CITY	LOCATION	1
Lynn	CITY	LOCATION	1
Lyons	CITY	LOCATION	1
Maldonado	CITY	LOCATION	1
Marks	CITY	LOCATION	1
